lng,lat,Dest,Total
-75.0849058,38.3365032,"ocean city, md ",45425.77
-115.1398296,36.1699412,"las vegas, nv ",31787.64
-90.6675154,42.5052674,"city, state ",26719
-80.1917902,25.7616798,"miami, fl ",25180.94
-97.7430608,30.267153,"austin, tx ",24749.420000000002
-86.7816016,36.1626638,"nashville, tn ",24284.32
-90.0715323,29.95106579999999,"new orleans, la ",23412.27
-88.41538469999999,44.2619309,"appleton, wi ",22766.43
-112.0740373,33.4483771,"phoenix, az ",21048.61
-117.1610838,32.715738,"san diego, ca ",18380.95
-111.8910474,40.7607793,"salt lake city, ut ",17167.55
-85.7584557,38.2526647,"louisville, ky ",16665.08
-81.3792365,28.5383355,"orlando, fl ",16525.62
-118.2436849,34.0522342,"los angeles, ca ",15280.96
-97.9413941,29.8832749,"san marcos, tx ",14561.07
-71.0588801,42.3600825,"boston, ma ",13201.15
-78.6381787,35.7795897,"raleigh, nc ",12937.8
-73.4529124,44.6994873,"plattsburgh, ny ",11253.92
-86.5861037,34.7303688,"huntsville, al ",11134.210000000001
-82.4571776,27.950575,"tampa, fl ",10767.880000000001
-121.7684732,37.6818688,"livermore, ca ",10739.6
-75.1652215,39.9525839,"philadelphia, pa ",9952.74
-117.9143012,33.8365932,"anaheim, ca ",8926.37
-75.97798499999999,36.8529263,"virginia beach, va ",8474.17
-87.6297982,41.8781136,"chicago, il ",7803.25
-77.4360481,37.5407246,"richmond, va ",7404.7
-88.32007150000001,41.7605849,"aurora, co ",7257.3
-97.3307658,32.7554883,"fort worth, tx ",7075.92
-85.3096801,35.0456297,"chattanooga, tn ",6828.99
-80.8431267,35.2270869,"charlotte, nc ",6595.33
-96.79698789999999,32.7766642,"dallas, tx ",6382.76
-111.9260519,33.4941704,"scottsdale, az ",6286.49
-81.65565099999999,30.3321838,"jacksonville, fl ",5680.469999999999
-122.4194155,37.7749295,"san francisco, ca ",5338.01
-76.8867008,40.2731911,"harrisburg, pa ",5260.8099999999995
-94.5785667,39.0997265,"kansas city, mo ",5249.02
-116.5452921,33.8302961,"palm springs, ca ",4696.63
-123.1207375,49.2827291,"vancouver,  ",4660.0599999999995
-122.3320708,47.6062095,"seattle, wa ",4591.2
-81.3792365,28.5383355,"orlando, md ",4259.08
-74.0059728,40.7127753,"new york, ny ",4166.58
-97.7430608,30.267153,"austin , tx ",4009.03
-85.4444913,43.8486301,"hersey, pa ",3780.1499999999996
-70.880049,42.5584283,"beverly, ma ",3772.42
-84.15938179999999,39.6283928,"centerville, md ",3752
-74.0059728,40.7127753,"new york city, ny ",3567.2400000000002
-122.0838511,37.3860517,"mountian view, ca ",3387.79
-82.6501332,34.5034394,"anderson, sc ",3377.02
-78.7625185,39.6528654,"cumberland, md ",3258.9700000000003
-80.0533746,26.7153424,"west palm beach, fl ",3062.73
-122.6750261,45.5051064,"portland, or ",2984.66
-122.4194155,37.7749295,"san francisco , ca ",2936.5
-85.8344383,41.5822716,"goshen, in ",2918.91
-113.4938229,53.5461245,"edmonton, state ",2915.45
-80.0533746,26.7153424,"west palm beach , fl ",2915.3
-82.3940104,34.85261759999999,"greenville, sc ",2914.9
-104.990251,39.7392358,"denver, co ",2821.17
-73.2198293,42.71369139999999,"new buxton, me ",2767.92
-74.2765441,40.92537249999999,"wayne, nj ",2590.7200000000003
-73.833079,40.7674987,"flushing, ny ",2554.62
-84.3879824,33.7489954,"atlanta, ga ",2541.01
-73.9441579,40.6781784,"brooklyn, ny ",2493.25
-76.5982992,40.4398111,"fort indiantown gap, pa ",2451.73
-111.8910474,40.7607793,"salt lake, ut ",2413.42
-85.34356919999999,34.9417429,"flintstone, md ",2329.8
-84.5555347,42.732535,"lansing, mi ",2329.69
-90.19940419999999,38.6270025,"st louis, mo ",2300.08
-70.9750541,41.9903519,"bridgewater, nj ",2295.35
-94.4480059,39.5655549,"plattsburg, ny ",2257.88
-79.95589679999999,39.629526,"morgantown, wv ",2189.1800000000003
-94.690855,38.927869,"overland , ks ",2171.53
-88.32007150000001,41.7605849,"aurura, co ",2145.41
-71.2079809,46.8138783,"quebec,  ",2101.34
-86.7816016,36.1626638,"nashville , tn ",2088.71
-73.4529124,44.6994873,"plattsburgh , ny ",2056.07
-80.1300455,25.790654,"miami beach, fl ",2035.31
-122.2892278,37.8395028,"emeryville, ca ",2026.42
-84.1916069,39.7589478,"dayton, oh ",2022.09
-80.1300455,25.790654,"miami beach , state ",1990.4
-117.7499909,34.055103,"pamona , ca ",1920.2799999999997
-75.0849058,38.3365032,"ocean city, ma ",1877.27
-84.15938179999999,39.6283928,"centerville , md ",1876
-80.2528257,27.197548,"stuart, fl ",1862.5
-121.7684732,37.6818688,"livermore , ca ",1826.62
-79.93105120000001,32.7764749,"charleston, sc ",1799.49
-88.0834059,42.0333607,"schaumburg, il ",1791.32
-122.2711639,37.8043514,"oakland, ca ",1778.28
-90.19940419999999,38.6270025,"st. louis, mo ",1774.94
-116.7812225,47.6734632,"coeur d'alene, id ",1760.64
-82.5514869,35.5950581,"ashville, nc ",1729.4
-80.1917902,25.7616798,"miaimi, fl ",1718.48
-78.61417089999999,35.7112642,"garner, nc ",1710.74
-82.8285877,27.972065,"clearwater beach, fl ",1645.24
-118.1937395,33.7700504,"long beach, ca ",1630.87
NA,NA,"glyvco, ga ",1560
-86.158068,39.768403,"indianapolis, in ",1557.67
-74.0376355,40.1136928,"manasquan, nj ",1545.33
-75.3057288,41.0398099,"tannersville, pa ",1542.06
-119.8138027,39.5296329,"reno, nv ",1523.57
-122.3608105,38.40157809999999,"yountville, ca ",1502.76
-80.13731740000001,26.1224386,"fort lauderdale, fl ",1489.05
-122.2348432,47.3809335,"kent, oh ",1488.52
-86.8103567,33.5185892,"birmingham, al ",1485.79
-81.091203,32.0808989,"savannah, ga ",1473.59
-70.6672621,41.9584457,"plymouth, ma ",1456.49
-85.34356919999999,34.9417429,"flinstone, md ",1385.96
-88.41538469999999,44.2619309,"appleton , wi ",1375.59
-98.49362819999999,29.4241219,"san antonio, tx ",1348.31
-75.66153840000001,35.8897427,"roanoke, va ",1304.2
-118.4911912,34.0194543,"santa monica, ca ",1275.23
-75.97798499999999,36.8529263,"virginia beach , va ",1273.21
-122.0838511,37.3860517,"mountain view , ca ",1248.28
-71.0022705,42.2528772,"quincy, ma ",1209.29
0.1149085,52.2042666,"cambridge, ma ",1200.42
-96.3344068,30.627977,"college station, tx ",1193.08
-111.8910474,40.7607793,"salt lake , ut ",1141.28
-97.3307658,32.7554883,"ft. worth, tx ",1139.79
-117.9586754,34.0197335,"city of industry, ca ",1134.77
-75.0849058,38.3365032,"ocean city , md ",1126.31
-85.17971419999999,42.3211522,"battle creek, mi ",1086.96
-97.3419342,37.6505088,"greenway, wi ",1048.32
-114.9817213,36.0395247,"henderson, nv ",1024.07
-82.3940104,34.85261759999999,"greenville, nc ",962.96
-74.2097014,40.08212899999999,"lakewood, co ",938.72
-76.51524429999999,40.3295359,"annville, pa ",916.0699999999999
-75.11951069999999,40.1240795,"abington , pa ",900.68
-71.20922139999999,42.3370413,"newton, pa ",815.34
-79.9958864,40.44062479999999,"pittsburgh, pa ",810.15
-88.7529066,44.6202321,"seagrave, wi ",805.11
-94.6738889,38.9725,"lake park, fl ",784.33
-59.523613,-51.796253,"falkland, nc ",783.4
-110.966488,32.3909071,"ora valley, az ",767.52
-76.1050092,37.5213728,"chesapeake bay, md ",711.12
-77.3324425,37.5059332,"henrico, va ",695.16
-75.5243682,39.158168,"dover, de ",688.56
-78.898619,35.9940329,"durham, nc ",658.44
-90.6675154,42.5052674,"city, md ",579.76
-84.28073289999999,30.4382559,"tallahassee, fl ",575.84
-74.4229266,39.3642834,"atlantic city, nj ",561.95
-73.2198293,42.71369139999999,"new buxton , me ",558.86
-79.3831843,43.653226,"toronto,  ",551.44
-79.7691176,36.0648563,"st. marys, pa ",518.94
-77.7905339,35.9382103,"rocky mount, va ",512.95
-95.3698028,29.7604267,"houston, tx ",495.44
-85.52898379999999,39.0501389,"muscatatuck, in ",367
-79.3831843,43.653226,"toronto, canada,  ",358.65
0.0098214,51.4933675,"greenwich, ct ",337.77
-106.3741955,39.6402638,"vail, co ",240
-75.97798499999999,36.8529263,"virgina beach, va ",217.43
-94.2207344,36.3606376,"hoover, al ",164.32
-76.5982992,40.4398111,"fort indian gap, pa ",62.61
-71.19896949999999,42.19439089999999,"norwood, ma ",0
-75.3326692,43.1572918,"oriskany, ny ",0
